Field,Label,Value
id,Dataset ID,d0856e3d-8c5a-449c-bb31-706031d25240
title,Title of Dataset,Peru Education Facilities (OpenStreetMap Export)
name,Dataset URL,hotosm_per_education_facilities
notes,Description,"This theme includes all OpenStreetMap features in this area matching ( Learn what tags means here ) : tags['amenity'] IN ('kindergarten', 'school', 'college', 'university') OR tags['building'] IN ('kindergarten', 'school', 'college', 'university') Features may have these attributes:  name name:en amenity building operator:type capacity:persons addr:full addr:city source name:es name:qu name:ay name:cni  This dataset is one of many OpenStreetMap exports on HDX. See the Humanitarian OpenStreetMap Team website for more information."
dataset_source,Source,OpenStreetMap contributors
organization,Contributor,Humanitarian OpenStreetMap Team (HOT)
dataset_date,Reference Period,[2025-09-05T00:00:00 TO 2025-09-05T23:59:59]
last_modified,Updated,2025-09-05T03:02:12
data_update_frequency,Expected Update Frequency,Every month
groups,Location,Peru
license_title,License,Open Database License (ODC-ODbL)
methodology,Methodology,Other
methodology_other,Define Methodology,Volunteered geographic information
caveats,Caveats/Comments,OpenStreetMap data is crowd sourced and cannot be considered to be exhaustive
tags,Tags,"education facilities-schools, geodata"
resource_1_created,Created,2019-12-06T20:45:46.165814
resource_1_description,Description,ESRI Shapefile
resource_1_format,File Format,SHP
resource_1_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/PER/education_facilities/points/hotosm_per_education_facilities_points_shp.zip
resource_1_id,Resource ID,3c9c5121-b020-4a9e-8863-1cfb38e7f69c
resource_1_last_modified,Updated,2025-09-05T03:02:11.687814
resource_1_metadata_modified,Metadata Updated,2025-09-06T10:27:08.216889
resource_1_microdata,Microdata,False
resource_1_dataset_id,Dataset ID,d0856e3d-8c5a-449c-bb31-706031d25240
resource_1_resource_type,Resource Type,api
resource_1_name,Resource Name,hotosm_per_education_facilities_points_shp.zip
resource_1_mimetype,MIME Type,
resource_1_size,Size,3.7M
resource_2_created,Created,2019-12-06T20:45:46.165825
resource_2_description,Description,ESRI Shapefile
resource_2_format,File Format,SHP
resource_2_download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/PER/education_facilities/polygons/hotosm_per_education_facilities_polygons_shp.zip
