Field,Label,Value
created,Created,2019-12-06T20:45:46.165825
description,Description,ESRI Shapefile
format,File Format,SHP
download_url,Download URL,https://s3.dualstack.us-east-1.amazonaws.com/production-raw-data-api/ISO3/PER/education_facilities/polygons/hotosm_per_education_facilities_polygons_shp.zip
id,Resource ID,a32a57a1-6451-418e-8e6a-1854c0ffb78c
last_modified,Updated,2025-09-05T03:02:11.687962
metadata_modified,Metadata Updated,2025-09-06T10:27:08.216988
microdata,Microdata,False
dataset_id,Dataset ID,d0856e3d-8c5a-449c-bb31-706031d25240
resource_type,Resource Type,api
name,Resource Name,hotosm_per_education_facilities_polygons_shp.zip
mimetype,MIME Type,
size,Size,2.0M
