NAME_1,Conteo,poblacion
Amazonas,102,436975
Ancash,995,1201463
Apurímac,84,434930
Arequipa,6165,1581200
Ayacucho,182,691700
Cajamarca,209,1535093
Callao,1291,140000
Cusco,203,1358300
Huancavelica,45,385900
Huánuco,31,806600
Ica,1710,970100
Junín,901,1364283
La Libertad,126,1891258
Lambayeque,2394,1360500
Lima,20124,10048774
Loreto,43,1046452
Madre de Dios,32,159100
Moquegua,235,200500
Pasco,70,286100
Piura,1304,1864190
Puno,360,1434446
San Martín,49,915700
Tacna,94,376100
Tumbes,39,256100
Ucayali,58,621084
